Brand_ID,Cate1_ID,Cate2_ID,Cate3_ID,Region_ID
0,0,0,0,1783
0,0,0,0,1932
0,0,0,0,2020
0,0,0,0,2007
0,0,0,0,2022
0,0,0,0,2027
0,0,0,0,1731
0,0,0,0,1797
0,0,0,0,1755
0,0,0,0,2034
0,0,0,0,2018
0,0,0,0,1781
0,0,0,0,2011
0,0,0,0,2035
0,0,0,0,1818
0,0,0,0,1980
0,0,0,0,1741
0,0,0,0,1852
0,0,0,0,1979
0,0,0,0,1920
0,0,0,3,1875
0,0,0,0,1697
0,0,0,0,1892
0,0,0,0,1873
0,0,0,0,1823
0,0,0,0,1918
0,0,0,0,1738
0,0,0,0,1680
0,0,0,3,1994
0,0,0,0,1871
0,0,0,0,2002
0,0,0,0,1654
0,0,0,0,1723
0,0,0,0,1945
0,0,0,0,1836
0,0,0,0,1807
0,0,0,0,1953
0,0,0,0,1997
0,0,0,0,1910
0,0,0,0,2035
0,0,0,0,2025
0,0,0,0,1996
0,0,0,0,1978
0,0,0,0,1807
0,0,0,0,1764
0,0,0,0,1873
0,0,0,0,1930
0,0,0,0,1998
0,0,0,0,1820
0,0,0,0,1801
0,0,0,0,1997
0,0,0,0,1734
0,0,0,0,2013
0,0,0,0,1927
0,0,0,0,2034
0,0,0,0,1994
0,0,0,0,1898
0,0,0,0,1885
0,0,0,0,2018
0,0,0,0,1842
0,0,0,0,2035
0,0,0,0,1898
0,0,0,0,2011
0,0,0,0,2001
0,0,0,0,1972
0,0,0,0,2018
0,0,0,0,1891
0,0,0,0,1943
0,0,0,0,1994
0,0,0,0,1995
0,0,0,0,2018
0,0,0,0,2011
0,0,0,0,2019
0,0,0,0,2019
0,0,0,0,1741
0,0,0,0,1973
0,0,0,0,1892
0,0,0,0,2039
0,0,0,0,1990
0,0,0,0,1801
0,0,0,0,1917
0,0,0,0,1980
0,0,0,0,1773
0,0,0,0,2025
0,0,0,0,1740
0,0,0,0,1732
0,0,0,0,2042
0,0,0,0,2004
0,0,0,0,1924
0,0,0,0,1675
0,0,0,0,2034
0,0,0,0,1925
0,0,0,0,1876
0,0,0,0,1911
0,0,0,0,1823
0,0,0,0,2039
0,0,0,0,1873
0,0,0,0,1891
0,0,0,0,2007
0,0,0,0,1852
0,0,0,0,1969
0,0,0,0,1936
0,0,0,0,1922
1,1,1,1,1808
1,1,1,1,1871
1,1,1,1,2035
1,1,1,1,1977
1,1,1,1,1839
1,1,1,1,1927
1,0,0,0,1918
1,1,1,1,1876
1,1,1,1,1891
1,1,1,1,1911
1,1,1,1,1997
1,1,1,1,2007
1,1,1,1,2004
1,1,1,1,1783
1,1,1,1,1963
1,1,1,1,1664
1,1,1,1,1896
1,1,1,1,1977
1,1,1,1,1901
1,1,1,1,2013
1,1,1,1,1918
1,1,1,1,1784
1,1,1,1,1918
1,1,1,1,1769
1,1,1,1,1970
1,1,1,1,1757
1,1,1,1,1988
1,1,1,1,1994
1,1,1,1,2020
1,1,1,1,1922
1,1,1,1,2020
1,1,1,1,1981
1,1,1,1,1876
1,1,1,1,1867
1,1,1,1,1722
1,1,1,1,2041
1,1,1,1,1783
1,1,1,1,1985
1,1,1,1,1896
1,1,1,1,1974
1,1,1,1,1994
1,1,1,1,1937
1,1,1,1,1963
1,1,1,1,1988
1,1,1,1,1995
1,1,1,1,1993
1,1,1,1,1988
1,1,1,1,1722
1,1,1,1,1871
1,1,1,1,1922
1,1,1,1,1906
1,1,1,1,1918
1,1,1,1,1727
1,1,1,1,1873
1,1,1,1,1867
1,1,1,1,2035
1,1,1,1,1807
1,1,1,1,1980
1,1,1,1,1871
1,1,1,1,1988
1,1,1,1,1845
1,1,1,1,1845
1,1,1,1,1803
1,1,1,1,1997
1,1,1,1,1796
1,1,1,1,1911
1,1,1,1,1854
1,1,1,1,1921
1,1,1,1,1654
1,1,1,1,1818
1,1,1,1,2007
1,1,1,1,2007
1,1,1,1,2027
1,1,1,1,1963
1,1,1,1,1750
1,1,1,1,1921
1,1,1,1,2018
1,1,1,1,1852
1,1,1,1,2039
1,1,1,1,1967
1,1,1,1,1970
1,1,1,1,1723
1,1,1,1,1852
1,1,1,1,2013
1,1,1,1,1871
1,1,1,1,1963
1,1,1,1,1988
1,1,1,1,1915
1,1,1,1,1873
1,1,1,1,1780
1,1,1,1,1922
1,1,1,1,1871
1,1,1,1,1905
1,1,1,1,1918
1,1,1,1,1927
1,1,1,1,1918
1,1,1,1,1745
1,1,1,1,2018
1,1,1,1,1722
1,1,1,1,1738
1,1,1,1,1918
1,1,1,1,1850
1,1,1,1,1985
1,1,1,1,1918
1,1,1,1,1714
1,1,1,1,1930
1,1,1,1,1990
1,1,1,1,2035
1,1,1,1,2019
1,1,1,1,1847
1,1,1,1,1722
1,1,1,1,1997
1,1,1,1,2027
1,1,1,1,2039
1,1,1,1,1873
1,1,1,1,1945
1,1,1,1,2001
1,1,1,1,2012
1,1,1,1,1850
1,1,1,1,1700
1,1,1,1,1948
1,1,1,1,2034
1,1,1,1,1773
1,1,1,1,1845
1,1,1,1,1873
1,1,1,1,1852
1,1,1,1,1963
1,1,1,1,2019
1,1,1,1,2018
1,1,1,1,1918
1,1,1,1,1918
1,1,1,1,1997
1,1,1,1,1912
1,1,1,1,2039
1,1,1,1,1994
1,1,1,1,1997
1,1,1,1,1932
1,1,1,1,2018
1,1,1,1,1871
1,1,1,1,1738
1,1,1,1,1822
1,1,1,1,1864
1,1,1,1,2027
1,1,1,1,1982
1,1,1,1,1980
1,1,1,1,1917
1,1,1,1,1852
1,1,1,1,2035
1,1,1,1,2020
1,1,1,1,1873
1,1,1,1,1905
1,1,1,1,1760
1,1,1,1,1781
1,1,1,1,1833
1,1,23,40,1887
1,1,1,1,1873
1,1,1,1,1918
1,1,1,1,1918
1,1,1,1,1957
1,1,1,1,1918
1,1,1,1,1912
1,1,1,1,1790
1,1,1,1,2010
1,1,1,1,1911
1,1,1,1,1722
1,1,1,1,2004
1,1,1,1,1980
1,1,1,1,1918
1,1,1,1,1979
1,1,1,1,1847
1,1,1,1,2042
1,1,1,1,1996
1,1,1,1,1848
1,1,1,1,1686
1,1,1,1,1917
1,1,1,1,1783
1,1,1,1,1990
1,1,1,1,1750
1,1,1,1,1714
1,1,1,1,1867
1,1,1,1,2007
1,1,1,1,1873
1,1,1,1,1918
1,1,1,1,2013
1,1,1,1,1997
1,1,1,1,1927
1,1,1,1,1778
1,1,1,1,1948
1,1,1,1,1873
1,1,1,1,2018
1,1,1,1,1983
1,1,1,1,1997
1,1,1,1,1911
1,1,1,1,1929
1,1,1,1,1990
1,1,1,1,1683
1,1,1,1,1917
1,1,1,1,1924
1,1,1,1,1893
1,1,1,1,2035
1,1,1,1,1906
1,1,1,1,1898
1,1,1,1,1980
2,3,5,7,1905
2,3,5,7,1946
2,3,5,7,1945
2,3,5,7,2001
2,1,1,1,2027
2,3,5,7,1864
2,3,5,7,1786
2,3,5,7,1967
2,3,5,7,1974
2,3,5,7,1948
2,3,5,7,1877
2,3,5,7,1905
2,3,5,7,1711
2,3,5,7,2018
2,3,5,75,1974
2,3,5,7,1680
2,3,5,7,1962
2,3,5,7,1896
2,3,5,7,1728
2,3,5,7,1932
2,3,5,7,1936
2,3,5,7,2039
2,3,5,7,1651
2,3,5,7,1686
2,3,5,7,1826
2,3,5,7,2010
2,3,5,7,2007
2,3,5,7,1906
2,3,5,7,1867
2,3,5,7,2012
2,3,5,7,2007
2,3,5,7,1867
2,3,5,7,2041
